City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
332,Alofi,NU,84.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
334,Nata,PA,87.67,broken clouds,8.3333,-80.5167,Rey David
340,Vallenar,CL,79.3,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
346,Cabo San Lucas,MX,83.52,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
347,Caninde,BR,80.01,scattered clouds,-4.3589,-39.3117,Hotel Casa Grande II
349,Davila,PH,75.18,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
351,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
352,Puerto Quijarro,BO,85.82,overcast clouds,-17.7833,-57.7667,Hotel palance
357,Bonthe,SL,78.46,broken clouds,7.5264,-12.505,Bonthe Holiday Village
360,Honiara,SB,82.65,overcast clouds,-9.4333,159.95,Heritage Park Hotel
367,San Juan,AR,86.31,few clouds,-31.5375,-68.5364,Hotel Provincial
370,Puerto Baquerizo Moreno,EC,81.59,broken clouds,-0.9,-89.6,Hotel los Algarrobos
372,Bontang,ID,77.92,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
373,Pandan,PH,75.81,scattered clouds,14.0453,124.1694,Bonifacio Lodge
386,Toamasina,MG,77.47,light rain,-18.1667,49.3833,Hotel H1
387,Inhambane,MZ,76.41,clear sky,-23.865,35.3833,Oceano
389,Victoria Point,AU,77.14,light rain,-27.5833,153.3,Bay Retreat Motel
391,Pleasanton,US,79.48,clear sky,37.6624,-121.8747,Four Points by Sheraton Pleasanton
395,Riberalta,BO,84.4,broken clouds,-10.9833,-66.1,Hotel Colonial
404,Illapel,CL,75.34,clear sky,-31.6308,-71.1653,Hotel Londres
407,Mitsamiouli,KM,80.4,clear sky,-11.3847,43.2844,Foyer ADM
408,Victor Harbor,AU,75.79,scattered clouds,-35.5667,138.6167,McCracken Country Club
409,Sao Jose Da Coroa Grande,BR,81.0,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
414,Gizo,SB,82.26,light rain,-8.103,156.8419,Imagination Island
432,Guantanamo,CU,83.77,clear sky,20.1444,-75.2092,Hotel Guantánamo
435,Koungou,YT,78.51,scattered clouds,-12.7336,45.2042,Villa Netibor
439,Mahajanga,MG,79.11,light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
440,Bubaque,GW,78.19,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
441,Imbituba,BR,82.29,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
445,Chancay,PE,80.33,scattered clouds,-11.5714,-77.2672,Hotel Madre Perla
449,Touros,BR,83.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
451,Santa Rosa,PH,78.12,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
458,Itarema,BR,79.7,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
459,Inirida,CO,83.88,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
467,Axim,GH,78.37,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
471,Manacapuru,BR,81.18,light rain,-3.2997,-60.6206,Novo Hotel
472,Buala,SB,80.82,light rain,-8.145,159.5921,Maringe Lagoon Lodge
