City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
285,Nuevo Progreso,MX,23.1667,-97.95,66.6,32,95,5.99,overcast clouds
286,Togur,RU,58.3631,82.8265,6.21,94,100,11.5,light snow
287,Trinidad,BO,-14.8333,-64.9,84.18,61,75,5.75,broken clouds
288,Champawat,IN,29.3333,80.1,38.8,93,0,4.34,clear sky
289,Anadyr,RU,64.75,177.4833,-30.5,75,0,11.18,clear sky
290,Camabatela,AO,-8.1881,15.375,61.11,94,100,1.28,moderate rain
291,Abasolo,MX,20.45,-101.5167,70.66,31,80,9.26,broken clouds
292,Constitucion,CL,-35.3333,-72.4167,65.46,76,57,7.25,broken clouds
293,Brownsville,US,25.9018,-97.4975,63.9,33,0,12.66,clear sky
294,Onega,RU,63.9061,38.1404,23.02,93,100,12.55,snow
295,Tecpan,GT,14.7623,-90.9947,65.16,74,89,8.16,overcast clouds
296,Luziania,BR,-16.2525,-47.9503,78.49,94,51,4.52,broken clouds
297,Eyl,SO,7.9803,49.8164,74.28,68,90,15.95,overcast clouds
298,Walvis Bay,NA,-22.9575,14.5053,75.09,83,5,4.61,light rain
299,Teguldet,RU,57.3064,88.1667,-1.12,93,66,9.42,broken clouds
300,Tiarei,PF,-17.5333,-149.3333,87.82,75,82,15.75,broken clouds
301,Puerto Leguizamo,CO,-0.1934,-74.7819,81.9,72,100,2.26,overcast clouds
302,Bhunya,SZ,-26.55,31.0167,62.67,78,65,1.74,broken clouds
303,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,83,20,12.66,few clouds
304,Ipixuna,BR,-1.7625,-48.8043,82.35,96,97,3.6,overcast clouds
305,Puerto Ayora,EC,-0.7393,-90.3518,82.36,88,90,4.0,overcast clouds
306,Saint-Joseph,RE,-21.3667,55.6167,77.38,85,19,11.39,few clouds
307,Yerbogachen,RU,61.2767,108.0108,-30.28,100,89,3.27,overcast clouds
308,Karatau,KZ,43.1667,70.4667,34.48,88,100,3.8,overcast clouds
309,Jimenez,MX,28.3333,-105.4,62.89,16,63,2.39,broken clouds
310,Muret,FR,43.3333,1.25,51.24,94,100,1.99,overcast clouds
311,Narsaq,GL,60.9167,-46.05,28.62,89,100,5.44,overcast clouds
312,Pilar,BR,-9.5972,-35.9567,80.53,76,85,11.07,overcast clouds
313,Emerald,AU,-23.5333,148.1667,73.54,68,0,11.5,clear sky
314,Taltal,CL,-25.4,-70.4833,70.38,70,19,6.38,few clouds
315,Bauta,CU,22.9828,-82.5464,75.09,78,75,8.05,broken clouds
316,Hasaki,JP,35.7333,140.8333,36.0,81,100,31.65,light rain
317,Natal,BR,-5.795,-35.2094,83.05,78,20,13.8,few clouds
318,Safaga,EG,26.7292,33.9365,62.55,47,0,10.16,clear sky
319,Blackwater,AU,-23.5833,148.8833,74.48,63,0,15.08,clear sky
320,Meulaboh,ID,4.1363,96.1285,76.26,89,94,5.23,overcast clouds
321,Ca Mau,VN,9.1769,105.15,77.32,84,21,7.14,few clouds
322,Gravdal,NO,68.1214,13.5031,31.89,74,40,28.77,scattered clouds
323,Lubango,AO,-14.9172,13.4925,58.78,74,78,1.97,broken clouds
324,Ulladulla,AU,-35.35,150.4667,66.87,62,100,7.58,overcast clouds
325,Puerto El Triunfo,SV,13.2833,-88.55,101.26,58,18,11.36,few clouds
326,Kragero,NO,58.8693,9.4149,42.58,95,100,15.21,overcast clouds
327,Paamiut,GL,61.994,-49.6678,11.59,94,100,18.14,light snow
328,Biak,ID,-0.9131,122.8766,75.18,85,100,6.11,overcast clouds
329,Kavieng,PG,-2.5744,150.7967,82.08,76,97,6.2,overcast clouds
330,Busembatia,UG,0.7697,33.6131,70.75,73,86,4.54,overcast clouds
331,Luanda,AO,-8.8368,13.2343,78.8,78,0,4.61,clear sky
332,Alofi,NU,-19.0595,-169.9187,84.09,70,100,10.36,overcast clouds
333,Sabha,LY,27.0377,14.4283,54.72,26,0,8.88,clear sky
334,Nata,PA,8.3333,-80.5167,87.67,45,81,15.9,broken clouds
335,Dwarka,IN,22.2394,68.9678,69.42,61,0,9.73,clear sky
336,Lewisporte,CA,49.2499,-55.0482,29.91,69,95,10.11,overcast clouds
337,Shenjiamen,CN,29.9576,122.298,43.39,77,63,15.73,broken clouds
338,Jalu,LY,29.0331,21.5482,55.24,52,66,7.14,broken clouds
339,Terenos,BR,-20.4422,-54.8603,92.91,35,40,2.3,scattered clouds
340,Vallenar,CL,-28.5708,-70.7581,79.3,34,0,8.79,clear sky
341,Murighiol,RO,45.0333,29.1667,28.89,79,99,4.23,overcast clouds
342,Hamilton,US,39.1834,-84.5333,29.62,67,100,10.36,overcast clouds
343,Severodvinsk,RU,64.5635,39.8302,8.71,86,100,13.09,overcast clouds
344,Buriti Bravo,BR,-5.8372,-43.8336,73.98,93,100,3.91,light rain
345,Afzalpur,IN,17.2,76.35,73.18,29,4,10.02,clear sky
