City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
204,Turukhansk,RU,2022-02-12 23:56:23,65.8167,87.9833,-12.96,83,1,8.37
205,Kautokeino,NO,2022-02-12 23:56:24,69.0125,23.0412,-16.37,100,33,2.39
206,Sulphur,US,2022-02-12 23:56:24,30.2366,-93.3774,53.6,72,100,20.71
207,Misratah,LY,2022-02-12 23:56:25,32.3754,15.0925,57.33,65,23,4.52
208,Chojnice,PL,2022-02-12 23:56:25,53.6955,17.557,26.29,69,56,9.93
209,Labuhan,ID,2022-02-12 23:56:25,-6.8844,112.2051,78.48,84,100,5.99
210,Upernavik,GL,2022-02-12 23:56:26,72.7868,-56.1549,9.9,88,100,27.07
211,Togur,RU,2022-02-12 23:56:26,58.3631,82.8265,-4.27,95,10,8.59
212,Meiganga,CM,2022-02-12 23:56:26,6.5167,14.3,65.93,23,73,4.63
213,Santa Fe,AR,2022-02-12 23:54:48,-31.6333,-60.7,70.02,48,83,5.01
214,Jiuquan,CN,2022-02-12 23:56:27,39.7432,98.5174,21.99,65,100,3.11
215,Saint Anthony,US,2022-02-12 23:56:27,45.0205,-93.218,6.26,62,75,4.61
216,Longyearbyen,SJ,2022-02-12 23:56:27,78.2186,15.6401,8.44,72,0,10.36
217,Cayenne,GF,2022-02-12 23:51:40,4.9333,-52.3333,77.09,88,100,0.0
218,Mount Gambier,AU,2022-02-12 23:56:27,-37.8333,140.7667,75.11,41,87,12.66
219,Bambous Virieux,MU,2022-02-12 23:54:46,-20.3428,57.7575,77.25,94,75,3.44
220,Barcelos,PT,2022-02-12 23:54:08,41.5388,-8.6151,49.84,93,16,1.7
221,Port-Gentil,GA,2022-02-12 23:56:28,-0.7193,8.7815,80.56,89,40,5.75
222,Dalvik,IS,2022-02-12 23:56:28,65.9702,-18.5286,21.13,93,94,8.95
223,Hun,LY,2022-02-12 23:56:28,29.1268,15.9477,51.44,46,0,6.29
224,Lianzhou,CN,2022-02-12 23:56:29,24.7811,112.3825,43.81,92,100,4.81
225,Kralendijk,BQ,2022-02-12 23:52:40,12.15,-68.2667,78.78,73,0,16.11
226,Kedrovyy,RU,2022-02-12 23:56:42,56.1667,91.8167,-19.14,93,25,8.5
227,Dale,US,2022-02-12 23:57:29,38.1689,-86.99,25.45,74,100,6.91
228,Divnomorskoye,RU,2022-02-12 23:57:29,44.5011,38.1353,35.89,56,99,13.62
229,Kavaratti,IN,2022-02-12 23:57:30,10.5669,72.642,80.47,70,7,5.1
230,Pisco,PE,2022-02-12 23:57:30,-13.7,-76.2167,71.65,73,0,21.85
